vm_mode,cell,n,native_cps_median,native_cps_mean,native_cps_min,native_cps_max,process_real_median_s,process_real_mean_s,process_real_min_s,process_real_max_s
rxvm,A,12,1195936.000,1185678.083,1000464,1230318,8.375,8.472,8.14,10.01
rxvm,B,12,1200180.500,1195162.583,1143032,1225873,8.345,8.383,8.17,8.76
rxvm,C,12,1211556.000,1200879.917,1102613,1233211,8.265,8.351,8.13,9.08
rxbvm,A,12,1180480.500,1174938.667,1130809,1201962,8.490,8.529,8.33,8.86
rxbvm,B,12,1180892.000,1178200.167,1134405,1214423,8.485,8.506,8.25,8.83
rxbvm,C,12,1208420.500,1197261.250,1151361,1231946,8.290,8.372,8.13,8.70
