workload,vm,n,min_percent,q1_percent,median_percent,q3_percent,max_percent,favorable,mean_percent,mean_ci95_low,mean_ci95_high
DeltaBlue,rxtvm,12,-82.8503376975825,-82.5098026450395,-82.3060068055749,-82.1088874634808,-81.3037201208044,12,-82.2794553980401,-82.5338331542085,-82.0250776418718
DeltaBlue,rxbvm,12,-82.9951033835657,-82.5788507487719,-82.4190471316486,-82.1967101185519,-80.9437415396296,12,-82.3208685429167,-82.6446401698282,-81.9970969160052
CD,rxtvm,12,-51.9592409681691,-49.0103429584514,-47.2984869637002,-46.29825414815,-43.8398874831194,12,-47.6233032015071,-49.1951205219256,-46.0514858810886
CD,rxbvm,12,-51.700447997551,-48.2649800301949,-47.1455260243496,-46.4896849895016,-41.9758157365745,12,-47.3174503421074,-48.8166033805972,-45.8182973036176
Richards,rxtvm,12,-84.6260879284848,-84.2266184743297,-83.9320600092803,-83.8051890280981,-83.5217401851475,12,-84.0255767731927,-84.2329750096142,-83.8181785367712
Richards,rxbvm,12,-85.6649198448622,-84.8580681703844,-84.5985330737097,-84.4326495636463,-83.8293742446496,12,-84.6036634991318,-84.9198541697507,-84.2874728285129
List,rxtvm,12,-19.0213084441314,-6.19614991320693,-2.5006436500618,-0.206101364539529,1.39090866444622,10,-5.01696151979149,-9.42125377832042,-0.612669261262571
List,rxbvm,12,-13.9404288067724,-9.90520654539453,-5.06579273289097,-2.93583179775602,5.70794896479447,10,-5.28101154389185,-9.11524474422896,-1.44677834355475
Sieve,rxtvm,36,-17.4471397068362,-0.2012119072999,0.175589606763227,6.09107897369245,19.5436199937907,15,2.29874793420917,-0.584701869171376,5.18219773758972
Sieve,rxbvm,36,-16.009876222345,-3.80079604657493,-0.045949448105298,1.28590298184835,20.6231454005935,19,-0.154228759975232,-3.2964619330502,2.98800441309973
RexxCPS,rxtvm,36,-6.73240879244792,-0.896599870833922,0.231624611414305,1.09265412856598,10.5666746870238,15,0.176296137387571,-0.717377679500201,1.06996995427534
RexxCPS,rxbvm,36,-2.14342111374297,-0.856148529421685,-0.0881921613341774,0.812044350557922,5.47673378140845,19,0.0535016421296355,-0.421576874949251,0.528580159208522
