variant,workload,rxas_sha256,rxas_instructions,copies,calls,max_locals,rxbin_sha256,rxbin_bytes
H0,DeltaBlue,861047decfd29bfd6a1dc0126e858a823383b3e8cceccc5e00cb4f45cf431c38,7009,644,141,206,fc8e5625a7dbdc21917bff787935e9393d00b1746e3f4355cce305d84d8a42aa,298934
H1-T20,DeltaBlue,da8baed1a9b85992bf156358d6937ee25e5651f9a840bc9b6d5e742a48be14b8,2111,88,75,38,31a965823c8f270e77f098410b5e0058fc7e114afc8981f86f6543cba0784732,102342
H0,CD,604ec767a0b7eb2d58f03b286877f48cb9540be602a8ef5c4086cde1d4c3523f,5593,463,34,93,4c5cdb657c48b72ba395e397a9e3047873289973554674e0fbf3cb4a10cbeab6,212890
H1-T20,CD,df6b8e571a56ac56c3cb0734e39b114fec3dec790031f4040cfa978d9d2a0830,2304,199,63,54,5d47a307bd896e5b907cbcf7dcb7a25901ec2b0ef0deb9ae7dcfa85cc8196d6a,109113
H0,Richards,79405ce8dd96f453817b9cdedd4eb95267eb0dce3810ed798272b95979588b99,1872,156,25,56,a090e370d02dd1bc1b7e3b9617c95e4c25b9cacdbbbd7a7f7db4432225c52213,81566
H1-T20,Richards,b15faeab14527e5256799f179ae7ca3d4268f84f872f92adcf1c6f2b5ff7fbca,883,17,33,30,9c45dfdc254a1d10eea64eda32cb425518da1653188c3e927f2c012970198c19,44342
H0,Havlak,0685b6a2c9755fbb5685ec593881ffe3514afd98b25703a9ba172294095c0b5f,2730,154,124,114,715d4ce55b1b5b896344ff3def7e79b5b1d9133b864916a9c549b75dc66d6c01,134477
H1-T20,Havlak,6eaff7b5bda9d04a41b32652e8580aa576d42564b6e736fd7b7d1811618bfcbc,1428,65,65,60,0b37a17c0b551e1a3c8e8f72b9721e6162990818fd9cccbdb7d2326ed33ef0e1,77334
H0,List,63eaa332ae2f8a7524264669c49b53cffb11f78aec6dca2de05612e637d1a5e4,262,16,15,34,de005c79b2bb5672f857d27a98941c3a3a28afb9db6110199c3bdd09b6dfc9,16920
H1-T20,List,63eaa332ae2f8a7524264669c49b53cffb11f78aec6dca2de05612e637d1a5e4,262,16,15,34,de005c79b2bb5672f857d27a98941c3a3a28afb9db6110199c3bdd09b6dfc9,16920
H0,Sieve,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,75,4,0,16,a9db0e5dc96ab05fd3b78471fedc4bb641555d8b5c209ae33b1a2f80e8dc9d06,4892
H1-T20,Sieve,29e173de0f4b3cbe6aa4dea62c4fa5c196f6791a9462a795f57547fb0edbb205,77,3,1,11,1a88310c1711b47d28f2e9823a398000bff2674af4e6d06a0b755278989abc74,5213
H0,RexxCPS,e1556046b17b51cd56e34542600596b6f5ea35a037d6f6996c8d23bb367a2a80,1403,79,22,117,0a977feee4b88029c74e37b467fd96e041a33365cb95b7355c719ab79838804c,73689
H1-T20,RexxCPS,41f094d349a7a6195a82d294cd82740a688e1d78a97a4d8d6bb90730af7ccb6a,865,58,22,117,699547c0abb8422beb685e88a8bd56a37bc4481d2de5265c9d55ca374797d672,51202
