vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
rxvm,elapsed_ns,12,87585000.000000,85463000.000000,-4.592902,-2.906528,-2.731486,-1.820020,0.118531,-2.447399,-3.229985,-1.664812,clear_favorable,11,12
rxbvm,elapsed_ns,12,95864500.000000,94102500.000000,-3.719290,-2.299935,-1.744525,-1.486849,-0.988088,-2.021560,-2.565258,-1.477862,clear_favorable,12,12
