vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
rxvm,elapsed_ns,12,21492000.000000,21191500.000000,-3.829147,-2.781187,-1.437438,0.200891,2.077589,-1.200727,-2.502547,0.101093,noisy_inconclusive,9,12
rxbvm,elapsed_ns,12,22274500.000000,22100500.000000,-3.427812,-1.906456,-1.034809,0.220576,1.085138,-1.054995,-1.939078,-0.170912,clear_favorable,8,12
