Sieve|rxvm|1.081|1.132|-4.443%
Sieve|rxbvm|1.422|1.368|+3.997%
Base64|rxvm|1.477|1.521|-2.880%
Base64|rxbvm|1.565|1.765|-11.351%
Richards|rxvm|3.159|3.208|-1.533%
Richards|rxbvm|3.224|3.207|+0.524%
Towers|rxvm|2.852|2.863|-0.383%
Towers|rxbvm|2.908|2.934|-0.897%
RexxCPS|rxvm|37839264|38148786|+0.818%
RexxCPS|rxbvm|36346400|36581828|+0.648%
