image,expected_candidate_instructions,actual_candidate_instructions,expected_candidate_sha256,actual_candidate_sha256,result
benchmark_awfy_bounce_opt.rxas,387,387,7d56eedcf41875634739e610bd4187fd144406be890afc795c5442720dff9855,7d56eedcf41875634739e610bd4187fd144406be890afc795c5442720dff9855,match
benchmark_awfy_list_opt.rxas,250,250,c3fce41d51b83eefb43d3c023af5c0ff7409694b4534034e211182be9838ad8a,c3fce41d51b83eefb43d3c023af5c0ff7409694b4534034e211182be9838ad8a,match
benchmark_awfy_mandelbrot_opt.rxas,120,120,dacd7596cd9202bf55f004598dcbfdec0df81f5ba3aa5180da29bfc0fc8206b0,dacd7596cd9202bf55f004598dcbfdec0df81f5ba3aa5180da29bfc0fc8206b0,match
benchmark_awfy_permute_opt.rxas,225,225,fa5d0892f2780ccabb5245588345e489980bbe583ee5f5f39ae243772b89759a,fa5d0892f2780ccabb5245588345e489980bbe583ee5f5f39ae243772b89759a,match
benchmark_awfy_richards_opt.rxas,1914,1914,8586422dfe701d92b615822b8a41008a573dd8667302803d81dd6754334d9bc5,8586422dfe701d92b615822b8a41008a573dd8667302803d81dd6754334d9bc5,match
benchmark_awfy_sieve_opt.rxas,75,75,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,match
benchmark_awfy_storage_opt.rxas,217,217,f4ec5a7a58b1a3f8805267916dc7a72a05c1ff0d60423cb421baa83c556dbae2,f4ec5a7a58b1a3f8805267916dc7a72a05c1ff0d60423cb421baa83c556dbae2,match
benchmark_awfy_towers_opt.rxas,603,603,c64fc42d925c51a7d65fb5251330e0791a24816792cc607d4fd0424f5eb7f54a,c64fc42d925c51a7d65fb5251330e0791a24816792cc607d4fd0424f5eb7f54a,match
benchmark_base64_roundtrip_opt.rxas,679,679,a12e287b43eb8c012ee01df8cf2a93eecc9f7ba0cda34f925e0cb6db8907879e,a12e287b43eb8c012ee01df8cf2a93eecc9f7ba0cda34f925e0cb6db8907879e,match
benchmark_json_parser_opt.rxas,48,48,8d3b2d354ea1b69a309077f5ca078dec2c4d794a7d9a98eba44e03748a4bf2a5,8d3b2d354ea1b69a309077f5ca078dec2c4d794a7d9a98eba44e03748a4bf2a5,match
benchmark_parse_frozen_generic_opt.rxas,649,649,148f16d229975f3234a5b4adb562a3f98acb8a8bd7f123cf14718b63edeea81f,148f16d229975f3234a5b4adb562a3f98acb8a8bd7f123cf14718b63edeea81f,match
benchmark_parse_frozen_opt.rxas,499,499,004ec6225ea77ee00018d54d4201b3441dd2cc192fc7c1bfa42cafe80def5939,004ec6225ea77ee00018d54d4201b3441dd2cc192fc7c1bfa42cafe80def5939,match
benchmark_rexxcps_levelb_opaque_opt.rxas,1689,1689,502a00c924085a0610c671a7d34596805a52bcd56f4f284f2559695761272ca3,502a00c924085a0610c671a7d34596805a52bcd56f4f284f2559695761272ca3,match
benchmark_rexxcps_levelb_opt.rxas,1618,1618,6391e96200f52d3752d714ed4f9f929a4b3c1e400ad3e1792fa237cce0f47813,6391e96200f52d3752d714ed4f9f929a4b3c1e400ad3e1792fa237cce0f47813,match
benchmark_runner_opt.rxas,2640,2640,f25c79488d6d1d97ae3831d865a698fe6e3ddcab03b853bc32065ca5fa2fc104,f25c79488d6d1d97ae3831d865a698fe6e3ddcab03b853bc32065ca5fa2fc104,match
nr03_evidence_tool_selftest_opt.rxas,21466,21466,8517925e1fe7d44be3ffd47a0e82931d1b0f5426e0ad2b294bb225feb3345399,8517925e1fe7d44be3ffd47a0e82931d1b0f5426e0ad2b294bb225feb3345399,match
nr10_artifact_inventory_selftest_opt.rxas,2739,2739,b8fb4ff28e80c1b8e6a40c691b249358a8cbe6ea7731d36af4cbe5c34c2c1743,b8fb4ff28e80c1b8e6a40c691b249358a8cbe6ea7731d36af4cbe5c34c2c1743,match
nr10_cross_runtime_matrix_selftest_opt.rxas,11555,11555,da02679b8cb2b012e0d50905bf49eeaf2469a11187dddc4a213b65594a47419c,da02679b8cb2b012e0d50905bf49eeaf2469a11187dddc4a213b65594a47419c,match
nr10_lifecycle_tool_selftest_opt.rxas,3551,3551,e65eab27d683fff7ef612247e42d9c9341fb8950fe8abbd4fc159ab7ea1e8658,e65eab27d683fff7ef612247e42d9c9341fb8950fe8abbd4fc159ab7ea1e8658,match
