vm,metric,n,q1_percent,median_percent,q3_percent,mean_percent,ci95_low_percent,ci95_high_percent,favorable_pairs,min_percent,max_percent
rxvm,elapsed,12,-0.141830,0.140564,0.557078,-0.037093,-0.563810,0.489623,5,-2.295481,0.702723
rxvm,native_rate,12,-0.570716,-0.138011,0.139810,0.030435,-0.514454,0.575324,5,-0.828261,2.358048
rxbvm,elapsed,12,-0.635297,-0.450428,0.024286,-0.129663,-0.898835,0.639509,9,-1.569353,2.687777
rxbvm,native_rate,12,-0.033959,0.443063,0.634364,0.138142,-0.621250,0.897535,9,-2.538378,1.600096
