workload,vm,baseline_median_seconds,candidate_median_seconds,paired_median_change_percent,paired_min_change_percent,paired_max_change_percent,removed_dynamic_swaps,microbenchmark_expected_saving_us,microbenchmark_expected_change_percent
awfy_list,rxvm,0.257742525,0.237071514,-5.946743,-13.817948,0.100055,142200,61.715,0.023944
awfy_list,rxbvm,0.248046637,0.244666457,-2.825500,-5.184534,2.244172,142200,100.393,0.040474
awfy_richards,rxvm,0.659335017,0.652544976,-1.335915,-2.613328,1.386971,23242,10.087,0.001530
awfy_richards,rxbvm,0.685452938,0.672331095,-1.186147,-17.618064,2.273661,23242,16.409,0.002394
awfy_storage,rxvm,2.445152521,2.432210565,-0.633352,-7.165558,0.254037,81920,35.553,0.001454
awfy_storage,rxbvm,2.543642998,2.525030494,1.735225,-13.014401,5.492279,81920,57.836,0.002274
base64_roundtrip,rxvm,0.400968551,0.407519937,2.932197,-3.454903,35.351560,1000,0.434,0.000108
base64_roundtrip,rxbvm,0.445460439,0.399624109,-5.906279,-16.990218,12.265927,1000,0.706,0.000158

