[0/2] Re-checking globbed directories...
[1/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_ast_walk.c.o
[2/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpmain.c.o
[3/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_diag_fallback.c.o
[4/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpopgr.c.o
[5/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpbpar.c.o
[6/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpopar.c.o
[7/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpcval.c.o
[8/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_ast_rewrite.c.o
[9/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_fixup.c.o
[10/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_val_plugin.c.o
[11/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_ast_val.c.o
[12/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_ast_print.c.o
[13/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpcpar.c.o
[14/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_source_tree.c.o
[15/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_util.c.o
[16/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_val_sym.c.o
[17/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_val_trans.c.o
[18/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_srcmap.c.o
[19/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpcdiag.c.o
[20/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_val_check.c.o
[21/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_dsl.c.o
[22/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_inline_rules.c.o
[23/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_emit_core.c.o
[24/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_emit_meta.c.o
[25/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_emit_proc.c.o
[26/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_emit_flow.c.o
[27/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_val_orch.c.o
[28/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_ast_core.c.o
[29/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_remap_build.c.o
[30/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpemit.c.o
[31/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_dispatch.c.o
[32/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpsymb.c.o
[33/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_emit_reg.c.o
[34/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_levelc_lower.c.o
[35/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcposcn.c.o
[36/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_highlight_controller.c.o
[37/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_emit_expr.c.o
[38/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpcgmr.c.o
[39/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_opt.c.o
[40/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_val_type.c.o
[41/49] Building C object compiler/CMakeFiles/rxclib.dir/rexcscan.c.o
[42/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_exit.c.o
[43/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpfunc.c.o
[44/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcp_inline.c.o
[45/49] Building C object compiler/CMakeFiles/rxclib.dir/rxcpbgmr.c.o
[46/49] Building C object compiler/CMakeFiles/rxclib.dir/rexbscan.c.o
[47/49] Linking C static library bin/librxclib.a
[48/49] Linking C executable bin/rxc
