workload,vm,round,position,variant,argv,elapsed_seconds
awfy_list,rxvm,1,1,baseline,100,0.225657225
awfy_list,rxvm,1,2,candidate,100,0.225883007
awfy_list,rxvm,2,1,candidate,100,0.233081102
awfy_list,rxvm,2,2,baseline,100,0.270452023
awfy_list,rxvm,3,1,baseline,100,0.289023876
awfy_list,rxvm,3,2,candidate,100,0.259332895
awfy_list,rxvm,4,1,candidate,100,0.241061926
awfy_list,rxvm,4,2,baseline,100,0.245033026
awfy_list,rxbvm,1,1,candidate,100,0.246143818
awfy_list,rxbvm,1,2,baseline,100,0.259603024
awfy_list,rxbvm,2,1,baseline,100,0.243405104
awfy_list,rxbvm,2,2,candidate,100,0.238284111
awfy_list,rxbvm,3,1,candidate,100,0.245607853
awfy_list,rxbvm,3,2,baseline,100,0.240216970
awfy_list,rxbvm,4,1,baseline,100,0.252688169
awfy_list,rxbvm,4,2,candidate,100,0.243725061
awfy_richards,rxvm,1,1,baseline,1,0.655560970
awfy_richards,rxvm,1,2,candidate,1,0.654716015
awfy_richards,rxvm,2,1,candidate,1,0.645779848
awfy_richards,rxvm,2,2,baseline,1,0.663109064
awfy_richards,rxvm,3,1,baseline,1,0.651049137
awfy_richards,rxvm,3,2,candidate,1,0.660079002
awfy_richards,rxvm,4,1,candidate,1,0.650373936
awfy_richards,rxvm,4,2,baseline,1,0.667344093
awfy_richards,rxbvm,1,1,candidate,1,0.666550159
awfy_richards,rxbvm,1,2,baseline,1,0.673425913
awfy_richards,rxbvm,2,1,baseline,1,0.663036823
awfy_richards,rxbvm,2,2,candidate,1,0.678112030
awfy_richards,rxbvm,3,1,candidate,1,0.659955025
awfy_richards,rxbvm,3,2,baseline,1,0.801091909
awfy_richards,rxbvm,4,1,baseline,1,0.697479963
awfy_richards,rxbvm,4,2,candidate,1,0.688055038
awfy_storage,rxvm,1,1,baseline,10,2.427690983
awfy_storage,rxvm,1,2,candidate,10,2.427770853
awfy_storage,rxvm,2,1,candidate,10,2.440248013
awfy_storage,rxvm,2,2,baseline,10,2.628602028
awfy_storage,rxvm,3,1,baseline,10,2.462614059
awfy_storage,rxvm,3,2,candidate,10,2.431339025
awfy_storage,rxvm,4,1,candidate,10,2.433082104
awfy_storage,rxvm,4,2,baseline,10,2.426916838
awfy_storage,rxbvm,1,1,candidate,10,2.470006943
awfy_storage,rxbvm,1,2,baseline,10,2.417495966
awfy_storage,rxbvm,2,1,baseline,10,2.460104942
awfy_storage,rxbvm,2,2,candidate,10,2.492045164
awfy_storage,rxbvm,3,1,candidate,10,2.558015823
awfy_storage,rxbvm,3,2,baseline,10,2.940734863
awfy_storage,rxbvm,4,1,baseline,10,2.627181053
awfy_storage,rxbvm,4,2,candidate,10,2.771473169
base64_roundtrip,rxvm,1,1,baseline,500,0.368276834
base64_roundtrip,rxvm,1,2,candidate,500,0.376858950
base64_roundtrip,rxvm,2,1,candidate,500,0.365628958
base64_roundtrip,rxvm,2,2,baseline,500,0.378713131
base64_roundtrip,rxvm,3,1,baseline,500,0.423223972
base64_roundtrip,rxvm,3,2,candidate,500,0.438180923
base64_roundtrip,rxvm,4,1,candidate,500,0.606762171
base64_roundtrip,rxvm,4,2,baseline,500,0.448286057
base64_roundtrip,rxbvm,1,1,candidate,500,0.394142151
base64_roundtrip,rxbvm,1,2,baseline,500,0.424481153
base64_roundtrip,rxbvm,2,1,baseline,500,0.424930096
base64_roundtrip,rxbvm,2,2,candidate,500,0.405106068
base64_roundtrip,rxbvm,3,1,candidate,500,0.386817932
base64_roundtrip,rxbvm,3,2,baseline,500,0.465990782
base64_roundtrip,rxbvm,4,1,baseline,500,0.535026073
base64_roundtrip,rxbvm,4,2,candidate,500,0.600651979
