workload,metric,vm,comparison,n,min_percent,q1_percent,median_percent,q3_percent,max_percent,mad_percent,favorable_count,mean_percent,mean_ci95_low_percent,mean_ci95_high_percent,disposition
rexxcps,cps,rxvm,candidate_vs_baseline,12,44.240773032,45.016278789,45.965151180,46.242534729,47.718251120,0.622352807,12,45.779358897,45.125220708,46.433497086,conclusive
rexxcps,cps,rxbvm,candidate_vs_baseline,12,44.275823216,45.647385524,45.825848707,46.412931715,46.913952063,0.350465070,12,45.897849674,45.441378207,46.354321141,conclusive
rexxcps,elapsed_seconds,rxvm,candidate_vs_baseline,12,-32.271519776,-31.590929745,-31.466035831,-31.012850810,-30.642754073,0.293179595,12,-31.371681583,-31.678548794,-31.064814372,conclusive
rexxcps,elapsed_seconds,rxbvm,candidate_vs_baseline,12,-31.901406061,-31.668848667,-31.399207490,-31.312989704,-30.661274959,0.164682450,12,-31.428712867,-31.644081346,-31.213344389,conclusive
parse_frozen,elapsed_seconds,rxvm,candidate_vs_baseline,12,-97.408536544,-97.344327590,-97.247905877,-97.170525512,-97.028136606,0.098481621,12,-97.240217779,-97.313411266,-97.167024291,conclusive
parse_frozen,elapsed_seconds,rxbvm,candidate_vs_baseline,12,-97.522924701,-97.485996241,-97.444999157,-97.414037498,-97.348447714,0.037213239,12,-97.443926376,-97.478161889,-97.409690863,conclusive
richards_control,elapsed_seconds,rxvm,candidate_vs_baseline,36,-1.200525730,-0.491026714,-0.201078589,0.173202603,1.673058945,0.339126643,23,-0.073260510,-0.283886290,0.137365270,noisy_inconclusive_at_cap
richards_control,elapsed_seconds,rxbvm,candidate_vs_baseline,12,-1.806275610,-0.913172840,-0.643974641,-0.381986981,0.353859185,0.284493726,10,-0.687459851,-1.109598446,-0.265321255,conclusive
lifecycle,elapsed_seconds,rxvm,candidate_vs_baseline,36,-12.175166812,-2.513147333,-0.983190060,0.946305054,7.312010740,1.884467583,23,-0.911843264,-2.036668410,0.212981881,noisy_inconclusive_at_cap
lifecycle,elapsed_seconds,rxbvm,candidate_vs_baseline,36,-40.634076490,-2.473754581,-0.990812256,0.996121262,12.242627829,1.736706409,23,-1.551138528,-4.094667944,0.992390887,noisy_inconclusive_at_cap
lifecycle,max_rss_bytes,rxvm,candidate_vs_baseline,36,-0.921658986,-0.692840647,-0.462962963,-0.231884291,0.697674419,0.230944401,30,-0.403818021,-0.538936203,-0.268699839,conclusive
lifecycle,max_rss_bytes,rxbvm,candidate_vs_baseline,36,-0.938967136,-0.471698113,-0.236406619,0.000000000,0.237529691,0.236406619,24,-0.287535004,-0.403532744,-0.171537264,conclusive
lifecycle,peak_footprint_bytes,rxvm,candidate_vs_baseline,36,-3.006955788,-2.272298594,-1.526427392,-0.767616009,2.325132548,0.757343946,30,-1.321902919,-1.764628293,-0.879177546,conclusive
lifecycle,peak_footprint_bytes,rxbvm,candidate_vs_baseline,36,-3.967469847,-2.418869068,-1.625687127,-0.817839533,0.000000000,0.806182271,31,-1.785594882,-2.177810456,-1.393379309,conclusive
