workload,metric,vm,image,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,appended_for_noise,noise_after_append
rexxcps,cps,rxvm,baseline,12,1219043.000000000,1226089.250000000,1231657.500000000,1234870.000000000,1242821.000000000,4109.000000000,0.333615473,1.930569172,no,no
rexxcps,cps,rxvm,candidate,12,1780974.000000000,1790664.000000000,1794999.000000000,1798462.250000000,1800749.000000000,3761.500000000,0.209554434,1.101671923,no,no
rexxcps,cps,rxbvm,baseline,12,1208617.000000000,1214570.250000000,1218161.000000000,1222836.250000000,1225112.000000000,4149.000000000,0.340595373,1.354090305,no,no
rexxcps,cps,rxbvm,candidate,12,1767047.000000000,1774854.750000000,1777923.500000000,1780046.000000000,1784417.000000000,2448.500000000,0.137716837,0.976982418,no,no
rexxcps,elapsed_seconds,rxvm,baseline,12,8.053818941,8.105747700,8.127019524,8.163872481,8.210523844,0.027167440,0.334285397,1.928196463,no,no
rexxcps,elapsed_seconds,rxvm,candidate,12,5.560803175,5.567680060,5.578843594,5.592190504,5.622581005,0.011624932,0.208375308,1.107359060,no,no
rexxcps,elapsed_seconds,rxbvm,baseline,12,8.170198917,8.185036421,8.216629386,8.240954638,8.281265020,0.028029561,0.341132108,1.351723411,no,no
rexxcps,elapsed_seconds,rxbvm,candidate,12,5.611536026,5.625372052,5.632056952,5.641827702,5.666524887,0.007744550,0.137508384,0.976354846,no,no
parse_frozen,elapsed_seconds,rxvm,baseline,12,1.637976170,1.666496396,1.685244441,1.711402893,1.738984108,0.022665381,1.344931391,5.993666886,no,no
parse_frozen,elapsed_seconds,rxvm,candidate,22,0.041999817,0.044940770,0.046126008,0.047456742,0.050375938,0.001371980,2.974417383,18.159215079,yes,yes
parse_frozen,elapsed_seconds,rxbvm,baseline,12,1.654915094,1.703316271,1.709394574,1.719661236,1.760478020,0.006631970,0.387971864,6.175456949,no,no
parse_frozen,elapsed_seconds,rxbvm,candidate,12,0.042304039,0.043334842,0.043946385,0.044219732,0.044738054,0.000422001,0.960263284,5.538601184,no,no
richards_control,elapsed_seconds,rxvm,baseline,36,0.562373877,0.573211014,0.576508046,0.580323994,0.584313869,0.003945946,0.684456363,3.805669699,no,no
richards_control,elapsed_seconds,rxvm,candidate,36,0.564972878,0.572374463,0.576331496,0.579070092,0.583872795,0.003273487,0.567986830,3.279348277,no,no
richards_control,elapsed_seconds,rxbvm,baseline,12,0.577795982,0.581494391,0.581837058,0.582330644,0.587455034,0.000543356,0.093386283,1.660095703,no,no
richards_control,elapsed_seconds,rxbvm,candidate,12,0.573071003,0.576924980,0.578130006,0.578779876,0.583924055,0.001228929,0.212569575,1.877268413,no,no
lifecycle,elapsed_seconds,rxvm,baseline,46,0.003593922,0.003683567,0.003736019,0.003827989,0.008327007,0.000065922,1.764511904,126.687926373,yes,yes
lifecycle,elapsed_seconds,rxvm,candidate,46,0.003570080,0.003660262,0.003708004,0.003777146,0.004403114,0.000060797,1.639615054,22.465830341,yes,yes
lifecycle,elapsed_seconds,rxbvm,baseline,36,0.003520012,0.003697694,0.003735542,0.003769756,0.006234169,0.000038505,1.030760592,72.657639419,no,yes
lifecycle,elapsed_seconds,rxbvm,candidate,46,0.003515005,0.003616095,0.003697038,0.003745020,0.006009817,0.000074983,2.028177967,67.481382053,yes,yes
lifecycle,max_rss_bytes,rxvm,baseline,46,7045120.000000000,7061504.000000000,7077888.000000000,7110656.000000000,7127040.000000000,16384.000000000,0.231481481,1.157407407,yes,no
lifecycle,max_rss_bytes,rxvm,candidate,46,7045120.000000000,7045120.000000000,7045120.000000000,7045120.000000000,7094272.000000000,0.000000000,0.000000000,0.697674419,yes,no
lifecycle,max_rss_bytes,rxbvm,baseline,36,6897664.000000000,6930432.000000000,6946816.000000000,6963200.000000000,6979584.000000000,16384.000000000,0.235849057,1.179245283,no,no
lifecycle,max_rss_bytes,rxbvm,candidate,46,6914048.000000000,6914048.000000000,6914048.000000000,6930432.000000000,6963200.000000000,0.000000000,0.000000000,0.710900474,yes,no
lifecycle,peak_footprint_bytes,rxvm,baseline,46,2113944.000000000,2130328.000000000,2146712.000000000,2179480.000000000,2195864.000000000,16384.000000000,0.763213696,3.816068481,yes,no
lifecycle,peak_footprint_bytes,rxvm,candidate,46,2113944.000000000,2113944.000000000,2113944.000000000,2113944.000000000,2163096.000000000,0.000000000,0.000000000,2.325132548,yes,no
lifecycle,peak_footprint_bytes,rxbvm,baseline,36,1982872.000000000,2015640.000000000,2032024.000000000,2048408.000000000,2064792.000000000,16384.000000000,0.806289689,4.031448447,no,no
lifecycle,peak_footprint_bytes,rxbvm,candidate,46,1982872.000000000,1982872.000000000,1982872.000000000,1999256.000000000,2032024.000000000,0.000000000,0.000000000,2.478828689,yes,no
