workload,round,variant,elapsed_seconds
richards,1,base,0.061955929
richards,1,current,0.054382086
richards,2,current,0.070704937
richards,2,base,0.054935932
richards,3,base,0.050334930
richards,3,current,0.050073862
richards,4,current,0.065388918
richards,4,base,0.055769920
richards,5,base,0.061202049
richards,5,current,0.062450886
richards,6,current,0.053141117
richards,6,base,0.049772978
richards,7,base,0.059411049
richards,7,current,0.052078009
richards,8,current,0.052398920
richards,8,base,0.059768915
richards,9,base,0.061750889
richards,9,current,0.059648991
richards,10,current,0.067423105
richards,10,base,0.050651073
richards,11,base,0.068172932
richards,11,current,0.050246000
richards,12,current,0.053959131
richards,12,base,0.064043045
richards,13,base,0.052897930
richards,13,current,0.056618929
richards,14,current,0.064864874
richards,14,base,0.058794022
richards,15,base,0.063676119
richards,15,current,0.059967995
richards,16,current,0.051570892
richards,16,base,0.062304020
richards,17,base,0.059307098
richards,17,current,0.057049990
richards,18,current,0.061646938
richards,18,base,0.060577869
richards,19,base,0.050493002
richards,19,current,0.061187983
richards,20,current,0.058884859
richards,20,base,0.052072048
richards,21,base,0.063236952
richards,21,current,0.068962812
richards,22,current,0.065726042
richards,22,base,0.064881086
richards,23,base,0.067996025
richards,23,current,0.066184998
richards,24,current,0.054085970
richards,24,base,0.055678129
richards,25,base,0.050827026
richards,25,current,0.062932014
richards,26,current,0.064491034
richards,26,base,0.060407877
richards,27,base,0.064884901
richards,27,current,0.058891058
richards,28,current,0.061336040
richards,28,base,0.056845903
richards,29,base,0.063192844
richards,29,current,0.059646845
richards,30,current,0.056535006
richards,30,base,0.061162949
towers,1,base,0.020040989
towers,1,current,0.019228935
towers,2,current,0.019377947
towers,2,base,0.018578053
towers,3,base,0.019320011
towers,3,current,0.019870043
towers,4,current,0.019654989
towers,4,base,0.019418955
towers,5,base,0.019523859
towers,5,current,0.020130873
towers,6,current,0.019886017
towers,6,base,0.020280123
towers,7,base,0.019796133
towers,7,current,0.018743992
towers,8,current,0.018876791
towers,8,base,0.024311066
towers,9,base,0.020210028
towers,9,current,0.019857883
towers,10,current,0.018971920
towers,10,base,0.019701004
towers,11,base,0.019248009
towers,11,current,0.019983053
towers,12,current,0.019907951
towers,12,base,0.018640041
towers,13,base,0.019888878
towers,13,current,0.019447803
towers,14,current,0.019979000
towers,14,base,0.020100117
towers,15,base,0.019946098
towers,15,current,0.019533157
towers,16,current,0.019478083
towers,16,base,0.018792868
towers,17,base,0.020004988
towers,17,current,0.018615007
towers,18,current,0.019639015
towers,18,base,0.019567966
towers,19,base,0.019840956
towers,19,current,0.019385099
towers,20,current,0.019687891
towers,20,base,0.019332886
towers,21,base,0.019322157
towers,21,current,0.018867016
towers,22,current,0.019238949
towers,22,base,0.019441843
towers,23,base,0.019245863
towers,23,current,0.019407988
towers,24,current,0.019259930
towers,24,base,0.019989967
towers,25,base,0.019490004
towers,25,current,0.019937038
towers,26,current,0.018818855
towers,26,base,0.019804955
towers,27,base,0.019814014
towers,27,current,0.018840075
towers,28,current,0.020051956
towers,28,base,0.019912958
towers,29,base,0.019441128
towers,29,current,0.019789934
towers,30,current,0.020167112
towers,30,base,0.018707991
rexxcps,1,base,0.051892042
rexxcps,1,current,0.049672842
rexxcps,2,current,0.048269987
rexxcps,2,base,0.048685789
rexxcps,3,base,0.061575890
rexxcps,3,current,0.057611942
rexxcps,4,current,0.048631907
rexxcps,4,base,0.048301935
rexxcps,5,base,0.050357819
rexxcps,5,current,0.058731079
rexxcps,6,current,0.059031010
rexxcps,6,base,0.048965216
rexxcps,7,base,0.055200100
rexxcps,7,current,0.052429914
rexxcps,8,current,0.064039946
rexxcps,8,base,0.050848007
rexxcps,9,base,0.049015045
rexxcps,9,current,0.066411972
rexxcps,10,current,0.058616877
rexxcps,10,base,0.049291134
rexxcps,11,base,0.053955078
rexxcps,11,current,0.048388004
rexxcps,12,current,0.047838926
rexxcps,12,base,0.049148083
rexxcps,13,base,0.058345079
rexxcps,13,current,0.052623987
rexxcps,14,current,0.056568861
rexxcps,14,base,0.054168940
rexxcps,15,base,0.058731079
rexxcps,15,current,0.064862967
rexxcps,16,current,0.057774782
rexxcps,16,base,0.054304838
rexxcps,17,base,0.063497782
rexxcps,17,current,0.051256895
rexxcps,18,current,0.050711870
rexxcps,18,base,0.058148146
rexxcps,19,base,0.050136089
rexxcps,19,current,0.048069954
rexxcps,20,current,0.048171997
rexxcps,20,base,0.052776814
rexxcps,21,base,0.055618048
rexxcps,21,current,0.050112963
rexxcps,22,current,0.049295187
rexxcps,22,base,0.048831940
rexxcps,23,base,0.049295187
rexxcps,23,current,0.055731058
rexxcps,24,current,0.048892975
rexxcps,24,base,0.057473898
rexxcps,25,base,0.061059952
rexxcps,25,current,0.049471140
rexxcps,26,current,0.050173998
rexxcps,26,base,0.052200079
rexxcps,27,base,0.063509941
rexxcps,27,current,0.050580025
rexxcps,28,current,0.049722910
rexxcps,28,base,0.048668861
rexxcps,29,base,0.056651115
rexxcps,29,current,0.064697027
rexxcps,30,current,0.052016973
rexxcps,30,base,0.056359053
