rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,2015600,4,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3)","r1=R5;r2=R11;c1=int:2;c2=int:6;r3=R6;r4=R12;c3=int:1","benchmark_awfy_permute_noopt",460
2,2015600,4,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2)","r1=R5;c1=int:6;r2=R6;r3=R12;c2=int:1;r4=R4","benchmark_awfy_permute_noopt",464
3,1007800,2,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r5,r3)","r1=R6;r2=R12;c1=int:1;r3=R4;r4=R5;r5=R2","benchmark_awfy_permute_noopt",467
4,1007800,2,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R2;r2=R4;r3=R5","benchmark_awfy_permute_noopt",475
5,1007800,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R4;r2=R5;r3=R6;r4=R2","benchmark_awfy_permute_noopt",471
6,1007800,4,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R11;r2=R20;r3=R12;r4=R3;r5=R13;r6=R7","benchmark_awfy_permute_noopt",365
7,1007800,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2)","r1=R5;r2=R4;r3=R11;c1=int:2;c2=int:6","benchmark_awfy_permute_noopt",480
8,1007800,2,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R7;r2=R8;r3=R6","benchmark_awfy_permute_noopt",515
9,937001,5,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_permute_noopt",0
10,937001,5,1,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_awfy_permute_noopt",4
11,937001,5,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_permute_noopt",2
12,936950,3,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","r1=R6;c1=int:18;c2=int:0","benchmark_awfy_permute_noopt",211
13,936950,6,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R7;c1=int:1;r2=R6;c2=int:256;r3=R8","benchmark_awfy_permute_noopt",92
14,936850,4,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4)","r1=R20;c1=int:256;r2=R6;r3=R7;r4=R3","benchmark_awfy_permute_noopt",305
15,936850,4,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c1,r6)","r1=R6;r2=R20;r3=R7;r4=R3;r5=R2;c1=func@11128;r6=R5","benchmark_awfy_permute_noopt",308
