artifact,baseline_78bd7f6f5_sha256,current_sha256,k06_accepts,verdict
original_fixture_opt,ef28be9324efcde1f0e59f4ce666eb3c64dc4aa55d8000cbf2c65d328c72c67b,ef28be9324efcde1f0e59f4ce666eb3c64dc4aa55d8000cbf2c65d328c72c67b,1,byte_identical
original_fixture_noopt,5ef002b984384969201c16e4b32721d332886ecb279cdd35cab441a662b22113,5ef002b984384969201c16e4b32721d332886ecb279cdd35cab441a662b22113,0,byte_identical
expanded_fixture_opt,not_in_baseline,53cf359cdfccb2abc302e37f026e438b578c01803b16e8031f73baad5e420c59,1,one_positive_three_negatives
expanded_fixture_noopt,not_in_baseline,16884346105c86ee4fbc7a6b40ccc5ffe1f523747f882d5cb2e2191f0981734e,0,all_source_instructions_preserved
Richards,92cda4c0cc9eb2aa38cd04b5ed0de4f35f1b6b2276f93b00a994818bc56241a7,92cda4c0cc9eb2aa38cd04b5ed0de4f35f1b6b2276f93b00a994818bc56241a7,0,byte_identical
Towers,11b140614e5ad6fa98ccd3c86d0aaee95e63d17f08df59ec158c6e676d98dfe9,11b140614e5ad6fa98ccd3c86d0aaee95e63d17f08df59ec158c6e676d98dfe9,0,byte_identical
RexxCPS,96bc599ba1bb25c0934000251e6c33cb17a4271a2776f609b06dbf8be697f005,96bc599ba1bb25c0934000251e6c33cb17a4271a2776f609b06dbf8be697f005,0,byte_identical
debug_rxas,a81d9e83645efbc3316fea7a7c6f45085ce306646be58c8542bea0eb2536e456,a81d9e83645efbc3316fea7a7c6f45085ce306646be58c8542bea0eb2536e456,not_applicable,unchanged
release_rxas,a1c0e1efc6dba991794183879849ac0c5c962aedb7e8d0fc0b6910f4cb204904,a1c0e1efc6dba991794183879849ac0c5c962aedb7e8d0fc0b6910f4cb204904,not_applicable,unchanged
