workload,vm,entry,rank,procedure,module,kind,calls,total_ns,average_ns
Richards,rxvm,richards-c1abc,1,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_opt,method,65790,0,0
Richards,rxvm,richards-c1abc,2,awfy_richards.richardsscheduler.queuepacket,benchmark_awfy_richards_opt,method,23246,0,0
Richards,rxvm,richards-c1abc,3,awfy_richards.richardsscheduler.appendpacket,benchmark_awfy_richards_opt,method,20114,0,0
Richards,rxvm,richards-c1abc,4,awfy_richards.richardsscheduler.release,benchmark_awfy_richards_opt,method,9999,0,0
Richards,rxvm,richards-c1abc,5,awfy_richards.richardsscheduler.createpacket,benchmark_awfy_richards_opt,method,3,0,0
Richards,rxbvm,richards-c1abc,1,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_opt,method,65790,0,0
Richards,rxbvm,richards-c1abc,2,awfy_richards.richardsscheduler.queuepacket,benchmark_awfy_richards_opt,method,23246,0,0
Richards,rxbvm,richards-c1abc,3,awfy_richards.richardsscheduler.appendpacket,benchmark_awfy_richards_opt,method,20114,0,0
Richards,rxbvm,richards-c1abc,4,awfy_richards.richardsscheduler.release,benchmark_awfy_richards_opt,method,9999,0,0
Richards,rxbvm,richards-c1abc,5,awfy_richards.richardsscheduler.createpacket,benchmark_awfy_richards_opt,method,3,0,0
Towers,rxvm,towers-c1abc,1,awfy_towers.towersbenchmark.pushdisk,benchmark_awfy_towers_opt,method,82050,0,0
Towers,rxvm,towers-c1abc,2,awfy_towers.towersbenchmark.movedisks,benchmark_awfy_towers_opt,method,81900,0,0
Towers,rxvm,towers-c1abc,3,awfy_towers.main,benchmark_awfy_towers_opt,procedure,1,0,0
Towers,rxbvm,towers-c1abc,1,awfy_towers.towersbenchmark.pushdisk,benchmark_awfy_towers_opt,method,82050,0,0
Towers,rxbvm,towers-c1abc,2,awfy_towers.towersbenchmark.movedisks,benchmark_awfy_towers_opt,method,81900,0,0
Towers,rxbvm,towers-c1abc,3,awfy_towers.main,benchmark_awfy_towers_opt,procedure,1,0,0
