[0/2] Re-checking globbed directories...
[1/808] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxvmload.c.o
[2/808] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvmload.c.o
[3/808] Linking C executable tests/funcvm
[4/808] Linking C static library bin/librxbvml.a
[5/808] Linking C static library bin/librxvml.a
[6/808] Linking C executable bin/rxtvm
[7/808] Linking C executable bin/rxbvm
[8/808] Creating rxvm symlink to rxbvm
[9/808] Linking C executable bin/rxc
[10/808] Linking archive-level db_decimal regression harness ...
[11/808] Building token.rxbin
[12/808] Building Dummy.rxbin
[13/808] cREXX compile and assemble _address ...
[14/808] cREXX compile and assemble _rxsystem ...
[15/808] cREXX compile and assemble _jdn ...
[16/808] cREXX compile and assemble _datei ...
[17/808] cREXX compile and assemble _dateo ...
[18/808] cREXX compile and assemble _ftrunc ...
[19/808] cREXX compile and assemble _itrunc ...
[20/808] cREXX compile and assemble _typedformat ...
[21/808] cREXX compile and assemble abbrev ...
[22/808] cREXX compile and assemble abs ...
[23/808] cREXX compile and assemble intabs ...
[24/808] cREXX compile and assemble floatabs ...
[25/808] cREXX compile and assemble b2x ...
[26/808] cREXX compile and assemble b2d ...
[27/808] cREXX compile and assemble binary ...
[28/808] cREXX compile and assemble c2x ...
[29/808] cREXX compile and assemble c2d ...
[30/808] cREXX compile and assemble center ...
[31/808] cREXX compile and assemble centre ...
[32/808] cREXX compile and assemble changestr ...
[33/808] cREXX compile and assemble compare ...
[34/808] cREXX compile and assemble copies ...
[35/808] cREXX compile and assemble countstr ...
[36/808] cREXX compile and assemble d2b ...
[37/808] cREXX compile and assemble d2c ...
[38/808] cREXX compile and assemble d2x ...
[39/808] cREXX compile and assemble date ...
[40/808] cREXX compile and assemble delstr ...
[41/808] cREXX compile and assemble delword ...
[42/808] cREXX compile and assemble fileio ...
[43/808] cREXX compile and assemble filter ...
[44/808] cREXX compile and assemble format ...
[45/808] cREXX compile and assemble intformat ...
[46/808] cREXX compile and assemble floatformat ...
[47/808] cREXX compile and assemble fnv ...
[48/808] cREXX compile and assemble getenv ...
[49/808] cREXX compile and assemble insert ...
[50/808] cREXX compile and assemble length ...
[51/808] cREXX compile and assemble linesize ...
[52/808] cREXX compile and assemble loadmodule ...
[53/808] cREXX compile and assemble lower ...
[54/808] cREXX compile and assemble max ...
[55/808] cREXX compile and assemble intmax ...
[56/808] cREXX compile and assemble floatmax ...
[57/808] cREXX compile and assemble min ...
[58/808] cREXX compile and assemble intmin ...
[59/808] cREXX compile and assemble floatmin ...
[60/808] cREXX compile and assemble numeric ...
[61/808] cREXX compile and assemble overlay ...
[62/808] cREXX compile and assemble pos ...
[63/808] cREXX compile and assemble qscan ...
[64/808] cREXX compile and assemble qpos ...
[65/808] cREXX compile and assemble qsplit ...
[66/808] cREXX compile and assemble qsplitsafe ...
[67/808] cREXX compile and assemble qextractall ...
[68/808] cREXX compile and assemble qextractpair ...
