role,runtime,workload,form,path,size_bytes,sha256
product,crexx,runtime,executable,cmake-build-release/bin/rxvm,866200,46967584e89859a3ee517419727115666111adb51d8853fa009cefc7d2c92d57
product,crexx,runtime,executable,cmake-build-release/bin/rxbvm,866328,4473c7b8401d997b44ed2399fbae8da48f40feb6d86397303ca786419bd6c231
product,crexx,library,linked-rxbin,cmake-build-release/bin/library.rxbin,868952,8a658a63019aedb99244ad71206882ef8e488aa4f79fbab64a77ed84654b0049
benchmark,crexx,Sieve,source,tests/benchmarks/awfy_sieve.crexx,983,395cc773ded763af39cd7ca0813582281e7f1be5768e5207f05e379e1756c18d
benchmark,crexx,Sieve,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas,9774,1fbd54ed31638fff0e878413c77898ac346635813e1493dc2405e5f1433a6b09
benchmark,crexx,Sieve,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin,4864,73363b0bf9bf6491209fba6b90323a4cf4cd6ef979275bda903b5f58b5be691f
benchmark,crexx,Permute,source,tests/benchmarks/awfy_permute.crexx,1313,272178f1429f704f8b90e530b96a4e161acb627872530a277d2c7e6e9daed7e4
benchmark,crexx,Permute,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas,30448,26f94837b59da46e698d9a4f820694c3909de37e6cbaa9b0ae515cab4adfe101
benchmark,crexx,Permute,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin,12077,4b7c7d2fbdfbc2ed323a9f6ff796edc11d1579073c137e5710c02f56bf784008
benchmark,crexx,Mandelbrot,source,tests/benchmarks/awfy_mandelbrot.crexx,1800,554c622367c89a9953326b4c370008e56fcea167cf63e1f09cdf305fc68b8b9f
benchmark,crexx,Mandelbrot,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_mandelbrot_opt.rxas,19061,e6fedf2403b77282e6a12a9f88946f1b350acb914f3d679c9fa10f0bd185e80f
benchmark,crexx,Mandelbrot,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_mandelbrot_opt.rxbin,8240,2c63577f828c2be89ff5d831405a5dfe48286c040bfcd1218aaf201f3bbe6ca5
benchmark,crexx,Towers,source,tests/benchmarks/awfy_towers.crexx,3529,b8163f600dfa6b8882b35344a18f09053e9f01fc92374383dc924a6ba2827935
benchmark,crexx,Towers,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas,82999,cc53e9277e2f2e0de2c4cb4a1122a61a745ea5ad7a08da4c78bced9cc3740b23
benchmark,crexx,Towers,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin,30079,a5362b08f4462a6daeff3cc0be41ef8f844c59039221bcc60594902d23b26607
benchmark,crexx,Bounce,source,tests/benchmarks/awfy_bounce.crexx,2230,9d569ff3f2995dfc8408352b5b085bc0e91e828d05c99684802677c5105284f1
benchmark,crexx,Bounce,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas,47525,dab24b2053d176d898a10d65dd9a3c07f7ce2e3ba6c8ec1328d8ea4e7988a631
benchmark,crexx,Bounce,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin,17847,f2a94de4a7bc7e4ccfbeb924a3dc2e08aa1e7ea61ebd8a8a2bc36a5837ecf2ff
benchmark,crexx,Storage,source,tests/benchmarks/awfy_storage.crexx,2538,06f1721bb3240ab5b48b2b11552c95444504ab57bbdd9213c33355c06073e2d0
benchmark,crexx,Storage,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxas,27735,ab6287ecb17a65392bfcb8cba2824bcbaf969d32888407571e51899cab60ebbf
benchmark,crexx,Storage,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxbin,12639,a179e1e7eaabd18d3b3b84ed2c1b2e68a390b58245ec5affacec18f21676b9e5
benchmark,crexx,List,source,tests/benchmarks/awfy_list.crexx,3917,5d137f9a279f4952bd831b4731c9eda53623daef9e084576449216651b29f6ee
benchmark,crexx,List,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_list_opt.rxas,36581,5f15576afb8e19c1e528d17e50be98f37b5626fd4bb1eab1a7de95a8851b4110
benchmark,crexx,List,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_list_opt.rxbin,16330,c12f158c8765eef5b38b05a89c8eb2ec3ffff688de0d3daa40d168949d8ce361
benchmark,crexx,Richards,source,tests/benchmarks/awfy_richards.crexx,9403,cd136e6cc8bc5dd487db99abe706fc96d161b3e4b102e13b20cce69bc4692372
benchmark,crexx,Richards,rxas,cmake-build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas,259027,fea9635c92a548575a92cd9b042d7137df3ef630c30dfef8a14dceb7f755b96f
benchmark,crexx,Richards,rxbin,cmake-build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin,80694,7c70aeecc76975efb3d0554744d01b2fc4f1241c405b0c452de30f32347aa352
benchmark,crexx,JSON,source,tests/benchmarks/json_parser.crexx,1483,163e36a569601c07bfc41cf0146bce7bd37aff38fd2b21bde3f7573af71ecb98
benchmark,crexx,JSON,rxas,cmake-build-release/tests/benchmarks/benchmark_json_parser_opt.rxas,7492,8d3b2d354ea1b69a309077f5ca078dec2c4d794a7d9a98eba44e03748a4bf2a5
benchmark,crexx,JSON,rxbin,cmake-build-release/tests/benchmarks/benchmark_json_parser_opt.rxbin,4001,18b858eb7be8a14ef1905deb83e266354b4d3849d939e3b5238a7046b89a89b6
benchmark,crexx,Base64,source,tests/benchmarks/base64_roundtrip.crexx,4437,b024222aff7a2e60dd7812da2c4aa54f2a9bc65b978915a2e670e74bad7d9e13
benchmark,crexx,Base64,rxas,cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxas,115210,0e5542ecf076524447b4c7b5e3ebb9c4254ccb4474bea5afbefd2e3b1fc8e87c
benchmark,crexx,Base64,rxbin,cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin,38273,7f87677720f483acbd2d89f3dfa8f257551789ca7b106d4aafbe3e2c43f1593c
benchmark,crexx,RexxCPS,source,tests/benchmarks/rexxcps_levelb.crexx,12180,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6
benchmark,crexx,RexxCPS,rxas,cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxas,225660,9715bbd495821cd80fc12b99beecc8fb05adada691c50b0e87d5a7026bf37b6b
benchmark,crexx,RexxCPS,rxbin,cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin,79405,482e12903ac0663ca7edddb410a632f7a60355883c6f433ce998c59333827c97
benchmark,oorexx,Sieve,source,tests/benchmarks/cross-runtime/classic/awfy_sieve.rex,843,7c5b6831bb203f926ebd0bb0d39646e19d4d28a25ea6fe33dc1fcd24db56237b
benchmark,oorexx,Permute,source,tests/benchmarks/cross-runtime/classic/awfy_permute.rex,1029,46c332ff7fa61082d8b160522cf121ff7a2c655f1ae471cbceabdd62a23d2551
benchmark,oorexx,Towers,source,tests/benchmarks/cross-runtime/classic/awfy_towers.rex,2314,f25fd13d597129714c1fe4ce661f77016191cdb44f567ac69bfaf1ba0fff0943
benchmark,oorexx,Bounce,source,tests/benchmarks/cross-runtime/oorexx/awfy_bounce.rex,1749,ebb6f456d30333a21c78773972baab0c5e65e42250e11330f9bd359c7c8db9f4
benchmark,oorexx,Storage,source,tests/benchmarks/cross-runtime/oorexx/awfy_storage.rex,1335,00b4eb815f19d8485090610bb7e9e4f759ba19e95a600db550494684b9bec42f
benchmark,oorexx,List,source,tests/benchmarks/cross-runtime/oorexx/awfy_list.rex,1627,82ed1f01cd1603eb54e2792e707ca8ce9cec33909e65de600e3c63cce8bcc904
benchmark,oorexx,Richards,source,tests/benchmarks/cross-runtime/oorexx/awfy_richards.rex,8623,b1aee5ceb5881808c77ab26350072d3822f0b774d0184b7d2f74087325bfe8a9
benchmark,oorexx,JSON,source,tests/benchmarks/cross-runtime/oorexx/json_parser.rex,1437,70f4f5532487d5550af56f13407125822c055ae2602d5213f4076067f5b3d304
benchmark,oorexx,Base64,source,tests/benchmarks/cross-runtime/oorexx/base64_roundtrip.rex,2571,eb96ed282b18848cffb192508ee22f46ccaae6fa61dc3e5d8a334635dae62534
benchmark,oorexx,RexxCPS,source,tests/benchmarks/cross-runtime/rexxcps/rexxcps_2_2.rex,9768,b86b1232a3747bacdeba64da16eb79cb0e0115bc3d91da3c2b0b08a80772c8f4
benchmark,netrexx,Sieve,source,tests/benchmarks/cross-runtime/netrexx/awfy_sieve.nrx,1069,90fea722fcc5211243d522cb6f4600ae45b42938f34eeb41f4ec1b6a29e700fb
generated,netrexx,Sieve,java-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_sieve.java.keep,2558,2d0893e53986fee97fd05a0445bfb3a612fcbc682bbfea0e28bf93b6b679baf0
generated,netrexx,Sieve,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_sieve.class,2119,0f70a235974d7e838f41606a1f3b7251a085a910ebf1b357d6badee071db4886
benchmark,netrexx,Permute,source,tests/benchmarks/cross-runtime/netrexx/awfy_permute.nrx,1326,6e4805984479fb1f5b559388f04cb01c5cd3a91452c89a3d106060bdf922e132
generated,netrexx,Permute,java-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_permute.java.keep,3237,150a8a42931a113046c8a0338663d03d1aa8d201a0fc9fe8a9023bc88b649d93
generated,netrexx,Permute,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_permute.class,1614,62096e1027feab2bd3624a8d5392446ae7ab20f13e9c207b6f4496fbf9816218
generated,netrexx,Permute,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/PermuteBenchmark.class,1625,5ef7f44df4b22a817811ed94d4fa01941997d7faae480af463ff1b26b9440e8c
benchmark,netrexx,Mandelbrot,source,tests/benchmarks/cross-runtime/netrexx/awfy_mandelbrot.nrx,2276,9c4151ad4aa6926c187dfd54c4c0233a727bbbbb4bd7aae5fce95f99a33b37dc
generated,netrexx,Mandelbrot,java,performance/evidence/2026-07-15-nr-02-cross-runtime/mandelbrot/netrexx/awfy_mandelbrot.java,2343,56a3125b5425d29095872ece9f22c10af1ad39c394cb72ee00255ef349ee0122
generated,netrexx,Mandelbrot,class,performance/evidence/2026-07-15-nr-02-cross-runtime/mandelbrot/netrexx/awfy_mandelbrot.class,1974,16179e930e7de66d99f98170be6f54086b3d51960af4a37b016c6a298dbc38d6
benchmark,netrexx,Towers,source,tests/benchmarks/cross-runtime/netrexx/awfy_towers.nrx,2438,ad235c5c0e6991b91c2ccad487f66b84f7e761f46e24d0a181bb24d8918a4a3d
generated,netrexx,Towers,java,performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/awfy_towers.java,3213,94701c2a2cb4504512fa7beb1d38d80c707848722109316ca46adf41310e0cbe
generated,netrexx,Towers,class,performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/awfy_towers.class,1253,96705e077549ae647bace84633631f0e350da7208493403592ca944e6cedbb66
generated,netrexx,Towers,class,performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/TowersBenchmark.class,1377,19cd20dfd26689988579ee2fce4ddd8c13d2e5a170a212212ad32ceae95f60fe
generated,netrexx,Towers,class,performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/TowersDisk.class,676,e78eb094af4c76f75d09c72eab623538e64b6349efa7b64f4e86597d0b1a544b
benchmark,netrexx,Bounce,source,tests/benchmarks/cross-runtime/netrexx/awfy_bounce.nrx,2012,62dd690de662db69021b56fd540bd5c0c899a4fb1107dc0b4dfb45218969443e
generated,netrexx,Bounce,java-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_bounce.java.keep,5066,b09238964e409fa3d4733e3a6128983465133c91c8bf1857a854b8b0a1a114be
generated,netrexx,Bounce,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_bounce.class,1586,dd048910abd8c97c90f13194d8b196c1c5dc14e32fd50a451338ee27393309ef
generated,netrexx,Bounce,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/BounceBenchmark.class,1203,29412e206eacafa87a5e1a597a1efa83e35e18e238e42fbca8e72e8384cc0c6b
generated,netrexx,Bounce,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/BounceBall.class,1566,03eac0004a73934c2b9b1f5733cf67c5779f893b90924f0e2517783ad07be8c1
generated,netrexx,Bounce,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/BounceRandom.class,786,142f91e5120b083d4021f5ab62402545f96b3fa9e70f04d7846f77de688af6b9
benchmark,netrexx,Storage,source,tests/benchmarks/cross-runtime/netrexx/awfy_storage.nrx,1464,6367a68814ad3b3fb2d14eac7a6c1277eb11b74a45e2edb1b54f5765b7deeb29
generated,netrexx,Storage,java,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_storage.java.keep,2089,f8f2864152560080049b75519afa0198deaadf02717e0007142cc6f7d6f7f88e
generated,netrexx,Storage,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_storage.class,1241,e01e098c51a4968ad478746b071ca516e5f0701b46040d6256fb46bed2e2b43a
generated,netrexx,Storage,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/StorageBenchmark.class,748,e1c4ca85eb43479b23dc90858259f3204a34f12a79b6a0fa7894e89a39b6c50f
generated,netrexx,Storage,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/StorageRandom.class,416,d011541556a00a622a7b4366cd9469efe5734488aa8f8b05a75d76565a67c6bb
benchmark,netrexx,List,source,tests/benchmarks/cross-runtime/netrexx/awfy_list.nrx,1955,f3a3e3b882c392c920f27c499d30cd39a13a66d353bb28dfbf1d1d15e7f9d378
generated,netrexx,List,java,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_list.java.keep,2535,b1914bf82f98908485ff701b916f5266466f29cd8285a056318fdbcbcf5145bd
generated,netrexx,List,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_list.class,1215,bc31542271b54dad54694b5b72b8f5a669b4c1f60e818298fa792fe07de890a3
generated,netrexx,List,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/ListBenchmark.class,979,08c16801019ce41af8b139d6315784089a3534852e8b59a6457726e1ff2d2a03
generated,netrexx,List,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/ListElement.class,617,210679234c6a4063c9484463b0a04bc923cd8a1cbb95a45a651a8a50e0fda59b
benchmark,netrexx,Richards,source,tests/benchmarks/cross-runtime/netrexx/awfy_richards.nrx,8363,13abf51a514e3b3c1dcc4723bd8e9e7e36219c969d448742c83a95bebf3a3122
generated,netrexx,Richards,java-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_richards.java.keep,16546,bb08b5601b7b3b90a0b5fb506b3d4f4280fe09ff95245c519393f182b4ff4206
generated,netrexx,Richards,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_richards.class,1813,8b6cb4984e426e3d2d2fb0bdea14b191068334024e18cd89abe44504fcf173d2
generated,netrexx,Richards,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/RichardsScheduler.class,7748,03507e9bc3b39867b3651300b8f82a43aa84c6c4c0b78543304cc84125f277f5
benchmark,netrexx,JSON,source,tests/benchmarks/cross-runtime/netrexx/json_parser.nrx,5886,48558ef3e97436a2a5b0a6c75911c9050cc19e06dc0a25bc930b2d93429970c1
generated,netrexx,JSON,java,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/json_parser.java.keep,6578,5db0be0608c96bae45234fbcc6e2d0fef69d7d0c21f872e963cd77e9767ec081
generated,netrexx,JSON,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/json_parser.class,2122,9be679366c667763d80db8fa9f3731d25254ea183d242bffa9dd25b619f6f59a
generated,netrexx,JSON,class,performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/JsonDomParser.class,3703,366258b02457092e93bedd94aedbef6160fd98b7f7d9a4247c0ec8253a55c76f
benchmark,netrexx,Base64,source,tests/benchmarks/cross-runtime/netrexx/base64_roundtrip.nrx,3661,f2f3185f649fb16ff18277652dc804828491e2d16564c640117dcb5e83a638d7
generated,netrexx,Base64,java-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/base64_roundtrip.java.keep,8336,277f7b68402dbb1ba9b523547fe8984c7a16e961767edd1ab522368822ea2679
generated,netrexx,Base64,class-decimal,performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/base64_roundtrip.class,5131,b5d319d76e9212e5f4cffac347e73b8d0ebe6cf41d699022f100c382c35a30fd
benchmark,netrexx,RexxCPS,source,tests/benchmarks/cross-runtime/rexxcps/rexxcps_2_2n.nrx,7602,ca86f40ac4e45295bb5bb7bad4ebc431a690d03e70429bbe8419221bfd4c7d18
generated,netrexx,RexxCPS,java,performance/evidence/2026-07-15-nr-02-cross-runtime/rexxcps/netrexx-2.2n/rexxcps_2_2n.java,13155,bd0a7cfef62d49a325b529d28a74e96880773c819be81b2ff68f212d3ef6df50
