Analysis of sampling smoke (pid 1654) every 1 millisecond
Process:         smoke [1654]
Path:            /private/var/folders/*/smoke
Load Address:    0x109fe8000
Identifier:      smoke
Version:         0
Code Type:       X86-64
Platform:        macOS
Parent Process:  Python [1287]
Target Type:     live task

Date/Time:       2026-09-15 20:03:54.595 +0000
Launch Time:     2026-09-15 20:00:54.069 +0000
OS Version:      macOS 15.7.9 (24G830)
Report Version:  7
Analysis Tool:   /usr/bin/sample

Physical footprint:         39.6M
Physical footprint (peak):  52.6M
Idle exit:                  untracked
----

Call graph:
    2403 Thread_8530   DispatchQueue_1: com.apple.main-thread  (serial)
    + 2403 start  (in dyld) + 3056  [0x7ff81b5e1530]
    +   2403 main  (in smoke) + 395  [0x10a115e3b]
    +     2403 rxvm_call  (in smoke) + 282  [0x10a10f18a]
    +       2403 run_with_signal  (in smoke) + 274  [0x109fef752]
    +         2403 rxvm_run_owned_core  (in smoke) + 97158  [0x10a007c96]
    +           2403 rxvm_handler_DCALL_REG_REG_REG  (in smoke) + 1323  [0x10a07cc7b]
    +             2403 rxvm_callfunc_session  (in smoke) + 171  [0x10a10c00b]
    +               2403 rxvm_callfunc_direct  (in smoke) + 139  [0x10a10bcfb]
    +                 2403 typed_runtime  (in smoke) + 114  [0x10a14ea02]
    +                   2403 typed_call  (in smoke) + 875  [0x10a1517fb]
    +                     2403 rxllama_call  (in libcrexx-llama.1.dylib) + 2777  [0x10a7e59c9]
    +                       2403 (anonymous namespace)::initialize_engine()  (in libcrexx-llama.1.dylib) + 2600  [0x10a7e2e28]
    +                         2403 ggml_backend_load  (in libcrexx-ggml.0.dylib) + 88  [0x10a7ab0a8]
    +                           2403 ggml_backend_registry::load_backend(std::__fs::filesystem::path const&, bool)  (in libcrexx-ggml.0.dylib) + 96  [0x10a7ab150]
    +                             2403 ggml_backend_init  (in libcrexx-ggml-metal.so) + 9  [0x10caac1e9]
    +                               2403 ggml_backend_metal_reg  (in libcrexx-ggml-metal.so) + 363  [0x10caabc7b]
    +                                 2403 ggml_metal_device_get  (in libcrexx-ggml-metal.so) + 34  [0x10cab3402]
    +                                   2403 ggml_metal_device_init  (in libcrexx-ggml-metal.so) + 2196  [0x10cab09f4]
    +                                     2403 ggml_metal_library_init  (in libcrexx-ggml-metal.so) + 611  [0x10caaeb23]
    +                                       2403 _dispatch_group_wait_slow  (in libdispatch.dylib) + 42  [0x7ff81b7dd192]
    +                                         2403 _dlock_wait  (in libdispatch.dylib) + 46  [0x7ff81b7dcf23]
    +                                           2403 __ulock_wait  (in libsystem_kernel.dylib) + 10  [0x7ff81b946316]
    2403 Thread_8571   DispatchQueue_16: com.apple.root.user-initiated-qos  (concurrent)
    + 2403 start_wqthread  (in libsystem_pthread.dylib) + 15  [0x7ff81b982843]
    +   2403 _pthread_wqthread  (in libsystem_pthread.dylib) + 233  [0x7ff81b983820]
    +     2403 _dispatch_worker_thread2  (in libdispatch.dylib) + 147  [0x7ff81b7eaf15]
    +       2403 _dispatch_root_queue_drain  (in libdispatch.dylib) + 98  [0x7ff81b7eaa96]
    +         2403 _dispatch_root_queue_drain.cold.3  (in libdispatch.dylib) + 931  [0x7ff81b80c60a]
    +           2403 _dispatch_client_callout  (in libdispatch.dylib) + 6  [0x7ff81b7f19fc]
    +             2403 _dispatch_call_block_and_release  (in libdispatch.dylib) + 12  [0x7ff81b7db6b9]
    +               2403 __ggml_metal_library_compile_all_block_invoke  (in libcrexx-ggml-metal.so) + 177  [0x10cab3281]
    +                 2403 -[_MTLDevice newLibraryWithSource:options:error:]  (in Metal) + 178  [0x7ff826ef331c]
    +                   2403 MTLLibraryBuilder::newLibraryWithSource(id<MTLDevice>, NSString*, MTLCompileOptions*, bool, void (id<MTLLibrary>, NSError*) block_pointer)  (in Metal) + 6963  [0x7ff826f48963]
    +                     2403 MTLLibraryBuilder::newLibraryWithRequestDataAndHash(MTLLibraryRequestData&, MTLUINT256_t const&, void (id<MTLLibrary>, NSError*) block_pointer)  (in Metal) + 128  [0x7ff826f46c36]
    +                       2403 MTLLibraryBuilder::initLibraryContainerWithRequestData(MTLLibraryContainer*, MTLLibraryRequestData&, void () block_pointer)  (in Metal) + 1498  [0x7ff826f45754]
    +                         2403 MTLCompilerConnectionManagerPrivate::buildRequest(unsigned int, MTLCompilerRequest*, bool, void (MTLCompilerError, NSObject<OS_dispatch_data>*, char const*) block_pointer)  (in Metal) + 464  [0x7ff826e234f6]
    +                           2403 XPCCompilerConnection::BuildRequest(MTLCompilerRequest*, char const*, NSObject<OS_dispatch_data>*, int, bool, void (unsigned int, void const*, unsigned long, char const*) block_pointer)  (in Metal) + 116  [0x7ff826e23700]
    +                             2403 _dispatch_sync_f_slow  (in libdispatch.dylib) + 175  [0x7ff81b7e868e]
    +                               2403 __DISPATCH_WAIT_FOR_QUEUE__  (in libdispatch.dylib) + 290  [0x7ff81b7e8a51]
    +                                 2403 _dispatch_event_loop_wait_for_ownership  (in libdispatch.dylib) + 507  [0x7ff81b7fa649]
    +                                   2403 _dispatch_kq_poll  (in libdispatch.dylib) + 169  [0x7ff81b7f9bbf]
    +                                     2403 kevent_id  (in libsystem_kernel.dylib) + 10  [0x7ff81b9462ce]
    2403 Thread_8572   DispatchQueue_64: compiler request queue  (serial)
    + 2403 start_wqthread  (in libsystem_pthread.dylib) + 15  [0x7ff81b982843]
    +   2403 _pthread_wqthread  (in libsystem_pthread.dylib) + 233  [0x7ff81b983820]
    +     2403 _dispatch_worker_thread2  (in libdispatch.dylib) + 147  [0x7ff81b7eaf15]
    +       2403 _dispatch_root_queue_drain  (in libdispatch.dylib) + 98  [0x7ff81b7eaa96]
    +         2403 _dispatch_root_queue_drain.cold.3  (in libdispatch.dylib) + 931  [0x7ff81b80c60a]
    +           2403 _dispatch_client_callout  (in libdispatch.dylib) + 6  [0x7ff81b7f19fc]
    +             2403 _dispatch_call_block_and_release  (in libdispatch.dylib) + 12  [0x7ff81b7db6b9]
    +               2403 __ggml_metal_library_compile_all_block_invoke  (in libcrexx-ggml-metal.so) + 177  [0x10cab3281]
    +                 2403 -[_MTLDevice newLibraryWithSource:options:error:]  (in Metal) + 178  [0x7ff826ef331c]
    +                   2403 MTLLibraryBuilder::newLibraryWithSource(id<MTLDevice>, NSString*, MTLCompileOptions*, bool, void (id<MTLLibrary>, NSError*) block_pointer)  (in Metal) + 6963  [0x7ff826f48963]
    +                     2403 MTLLibraryBuilder::newLibraryWithRequestDataAndHash(MTLLibraryRequestData&, MTLUINT256_t const&, void (id<MTLLibrary>, NSError*) block_pointer)  (in Metal) + 128  [0x7ff826f46c36]
    +                       2403 MTLLibraryBuilder::initLibraryContainerWithRequestData(MTLLibraryContainer*, MTLLibraryRequestData&, void () block_pointer)  (in Metal) + 1498  [0x7ff826f45754]
    +                         2403 MTLCompilerConnectionManagerPrivate::buildRequest(unsigned int, MTLCompilerRequest*, bool, void (MTLCompilerError, NSObject<OS_dispatch_data>*, char const*) block_pointer)  (in Metal) + 464  [0x7ff826e234f6]
    +                           2403 XPCCompilerConnection::BuildRequest(MTLCompilerRequest*, char const*, NSObject<OS_dispatch_data>*, int, bool, void (unsigned int, void const*, unsigned long, char const*) block_pointer)  (in Metal) + 116  [0x7ff826e23700]
    +                             2403 _dispatch_sync_f_slow  (in libdispatch.dylib) + 199  [0x7ff81b7e86a6]
    +                               2403 _dispatch_sync_invoke_and_complete_recurse  (in libdispatch.dylib) + 65  [0x7ff81b7e8b65]
    +                                 2403 _dispatch_client_callout  (in libdispatch.dylib) + 6  [0x7ff81b7f19fc]
    +                                   2403 invocation function for block in XPCCompilerConnection::BuildRequest(MTLCompilerRequest*, char const*, NSObject<OS_dispatch_data>*, int, bool, void (unsigned int, void const*, unsigned long, char const*) block_pointer)  (in Metal) + 63  [0x7ff826eff52b]
    +                                     2403 XPCCompilerConnection::BuildRequestInternal(MTLCompilerRequest*, char const*, NSObject<OS_dispatch_data>*, int, bool, void (unsigned int, void const*, unsigned long, char const*) block_pointer)  (in Metal) + 1052  [0x7ff826e23b72]
    +                                       2403 xpc_connection_send_message_with_reply_sync  (in libxpc.dylib) + 255  [0x7ff81b684fdc]
    +                                         2403 dispatch_mach_send_with_result_and_wait_for_reply  (in libdispatch.dylib) + 49  [0x7ff81b7f3131]
    +                                           2403 _dispatch_mach_send_and_wait_for_reply  (in libdispatch.dylib) + 521  [0x7ff81b7f2d40]
    +                                             2403 mach_msg  (in libsystem_kernel.dylib) + 19  [0x7ff81b944e3b]
    +                                               2403 mach_msg_overwrite  (in libsystem_kernel.dylib) + 574  [0x7ff81b94bbc3]
    +                                                 2403 mach_msg2_internal  (in libsystem_kernel.dylib) + 83  [0x7ff81b9536bc]
    +                                                   2403 mach_msg2_trap  (in libsystem_kernel.dylib) + 10  [0x7ff81b944b4a]
    2403 Thread_8577   DispatchQueue_16: com.apple.root.user-initiated-qos  (concurrent)
    + 2403 start_wqthread  (in libsystem_pthread.dylib) + 15  [0x7ff81b982843]
    +   2403 _pthread_wqthread  (in libsystem_pthread.dylib) + 233  [0x7ff81b983820]
