rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,3136001,41,1,2,candidate,"NULL_REG(r1) | NULL_REG(r2)","r1=R17;r2=R18","benchmark_rexxcps_levelb_noopt",4
2,1164800,12,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1)","r1=R60;r2=R76;r3=R78","benchmark_rexxcps_levelb_noopt",610
3,1153600,14,1,2,candidate,"LOAD_REG_INT(r1,c1) | ITOS_REG(r1)","r1=R83;c1=int:1234","benchmark_rexxcps_levelb_noopt",616
4,1019600,14,2,4,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R70;r2=R40;r3=R71;r4=R45","benchmark_rexxcps_levelb_noopt",1177
5,784828,13,5,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R12;c1=int:100;r2=R3","benchmark_rexxcps_levelb_noopt",23
6,713661,34,10,4,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R33;r2=R12;c1=int:1;c2=label@168","benchmark_rexxcps_levelb_noopt",149
7,700000,7,1,4,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | STEMGET_REG_REG_REG(r2,r4,r1)","r1=R82;r2=R79;r3=R60;r4=R0","benchmark_rexxcps_levelb_noopt",656
8,700000,6,1,2,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1)","r1=R81;r2=R17","benchmark_rexxcps_levelb_noopt",726
9,627200,5,1,4,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | ITOS_REG(r3)","r1=R78;r2=R59;c1=string@38320;r3=R60","benchmark_rexxcps_levelb_noopt",606
10,556849,26,3,4,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R35;r2=R34;c1=string@27168;c2=label@481","benchmark_rexxcps_levelb_noopt",471
11,549619,7,7,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4)","c1=int:18;c2=int:1;c3=label@13;r1=R3;c4=int:512","length",0
12,476621,21,5,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R33;c1=int:1;r2=R31;c2=int:2","benchmark_rexxcps_levelb_noopt",184
13,464806,10,1,2,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1)","r1=R7;r2=R33","benchmark_rexxcps_levelb_noopt",306
14,464800,4,1,3,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1)","r1=R78;r2=R0;r3=R81","benchmark_rexxcps_levelb_noopt",708
15,395270,14,7,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R94;r2=R33;c1=int:2;c2=label@1413","benchmark_rexxcps_levelb_noopt",1404
16,394486,16,7,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R3;c1=int:100;r2=R11;c2=string@3232","benchmark_rexxcps_levelb_noopt",26
17,393243,16,6,4,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R23;r2=R40;r3=R5;r4=R33","_typedformat",391
18,392006,11,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1)","r1=R33;c1=string@17904;r2=R7","benchmark_rexxcps_levelb_noopt",303
19,392003,3,3,5,candidate,"BRF_ID_REG(c1,r1) | ILT_REG_REG_INT(r2,r3,c2)","c1=label@80;r1=R66;r2=R45;r3=R2;c2=int:0","_typedformat",69
20,392003,6,1,4,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R31;c1=int:2;r2=R24;c2=int:256","benchmark_rexxcps_levelb_noopt",187
21,392000,5,1,5,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1)","r1=R41;r2=R46;r3=R50;r4=R55;r5=R61","benchmark_rexxcps_levelb_noopt",1269
22,392000,5,1,5,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1)","r1=R55;r2=R69;r3=R41;r4=R46;r5=R50","benchmark_rexxcps_levelb_noopt",1266
23,380800,5,1,4,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2)","r1=R76;c1=string@38320;r2=R74;c2=int:2","benchmark_rexxcps_levelb_noopt",976
24,314610,9,5,3,candidate,"LOAD_REG_INT(r1,c1) | BRF_ID_REG(c2,r1)","r1=R90;c1=int:1;c2=label@1050","benchmark_rexxcps_levelb_noopt",1041
25,314603,10,2,4,candidate,"LOAD_REG_INT(r1,c1) | CALL_REG_FUNC_REG(r2,c2,r1)","r1=R33;c1=int:0;r2=R24;c2=func@10008","benchmark_rexxcps_levelb_noopt",177
26,314424,8,6,4,candidate,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R48;r2=R10;r3=R25;c1=label@346","_typedformat",306
27,313600,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | STRUPPER_REG_REG(r1,r2)","r1=R0;c1=string@28856;r2=R3","upper",4
28,313600,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_STRING(r1,c3)","c1=int:18;c2=int:1;r1=R0;c3=string@28856","upper",0
29,313600,1,1,2,candidate,"STRUPPER_REG_REG(r1,r2) | RET_REG(r1)","r1=R0;r2=R3","upper",7
30,308000,3,1,3,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1)","r1=R80;r2=R0;r3=R79","benchmark_rexxcps_levelb_noopt",873
31,302400,4,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_STRING(r1,r1,c1)","r1=R76;c1=string@38320","benchmark_rexxcps_levelb_noopt",974
32,249857,24,7,4,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R19;c1=string@1760;r2=R12;c2=int:100","benchmark_rexxcps_levelb_noopt",20
33,242683,25,6,4,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R94;r2=R93;c1=int:0;c2=label@1390","benchmark_rexxcps_levelb_noopt",1380
34,241203,20,3,4,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R65;r2=R50;r3=R69;c1=string@60776","benchmark_rexxcps_levelb_noopt",1280
35,236868,11,6,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R19;r2=R15;c1=label@1735","benchmark_rexxcps_levelb_noopt",1782
36,236434,8,4,5,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2)","r1=R11;c1=string@7352;r2=R33;r3=R12;c2=int:1","benchmark_rexxcps_levelb_noopt",146
37,236433,7,3,4,candidate,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1)","r1=R4;r2=R1;r3=R11;c1=int:1","left",73
38,236034,5,4,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3)","c1=label@31;r1=R15;c2=int:256;r2=R1;c3=string@312872","left",19
39,236034,5,4,3,candidate,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2)","r1=R1;c1=string@312872;c2=int:0","left",23
40,236034,5,4,3,candidate,"SETTP_REG_INT(r1,c1) | BR_ID(c2)","r1=R1;c1=int:0;c2=label@46","left",26
41,236016,3,3,5,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2)","c1=label@12848;r1=R30;r2=R31;r3=R2;c2=int:0","trace",12805
42,236009,10,4,4,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R47;r2=R33;c1=int:0;c2=label@398","_typedformat",381
43,236000,3,2,5,candidate,"SWAP_REG_REG(r1,r2) | BRTPANDT_ID_REG_INT(c1,r3,c2)","r1=R2;r2=R6;c1=label@25;r3=R7;c2=int:512","pos",13
44,235633,7,3,3,candidate,"NOT_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)","r1=R45;r2=R64;c1=label@138","_typedformat",129
45,235616,2,2,5,candidate,"NULLN_REG_REG(r1,r2) | GETANDTP_REG_REG_INT(r3,r4,c1)","r1=R16;r2=R17;r3=R2;r4=R0;c1=int:256","strip",80
46,235616,2,2,6,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG(r5,r6)","r1=R9;r2=R10;r3=R12;r4=R13;r5=R16;r6=R17","strip",75
47,235601,4,2,7,candidate,"SETTP_REG_INT(r1,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r2,c2,r3,r4,c3)","r1=R31;c1=int:512;r2=R33;c2=func@6184;r3=R28;r4=R32;c3=int:0","benchmark_rexxcps_levelb_noopt",104
48,235600,2,2,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1)","r1=R2;r2=R3;c1=int:1;r3=R21;r4=R29","trace",12776
49,235600,2,2,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | BGE_ID_REG_INT(c1,r1,c2)","r1=R21;r2=R29;r3=R2;c1=label@12791;c2=int:0","trace",12780
50,235600,2,2,5,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R29;r2=R0;r3=R2;r4=R3;c1=int:1","trace",12773
51,235220,22,2,4,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R79;c1=int:768;r2=R81;c2=int:256","benchmark_rexxcps_levelb_noopt",634
52,235202,2,2,5,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R45;r2=R2;c1=int:0;c2=label@86;c3=label@89","_typedformat",72
53,235200,1,1,4,candidate,"BRT_ID_REG(c1,r1) | DGT_REG_REG_REG(r1,r2,r3)","c1=label@691;r1=R82;r2=R17;r3=R10","benchmark_rexxcps_levelb_noopt",680
54,235200,3,1,5,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1)","r1=R76;r2=R78;r3=R60;r4=R83;c1=int:1234","benchmark_rexxcps_levelb_noopt",612
55,235200,1,1,5,candidate,"DGT_REG_REG_REG(r1,r2,r3) | BRTF_ID_ID_REG(c1,c2,r1)","r1=R82;r2=R17;r3=R10;c1=label@896;c2=label@698","benchmark_rexxcps_levelb_noopt",683
56,235200,1,1,4,candidate,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R82;r2=R8;c1=decimal@40832;c2=label@691","benchmark_rexxcps_levelb_noopt",676
57,235200,1,1,5,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R3;r2=R20;c1=int:256;r3=R6;c2=int:0","substr",61
58,235200,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | BGE_ID_REG_REG(c1,r3,r2)","r1=R1;r2=R20;c1=label@175;r3=R0","substr",165
