rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,278800,1,1,7,over_3_symbols,"BCF_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | COPY_REG_REG(r4,r5)","c1=label@90;r1=R7;r2=R9;r3=R4;c2=int:0;r4=R6;r5=R10","objectarrayappend",68
2,278800,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c1) | BR_ID(c2)","r1=R6;r2=R10;r3=R4;c1=int:1;c2=label@68","objectarrayappend",79
3,278800,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | COPY_REG_REG(r1,r4) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c1)","r1=R6;r2=R9;r3=R4;r4=R10;c1=int:1","objectarrayappend",75
4,278800,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | COPY_REG_REG(r3,r4) | UNLINK_REG(r3)","r1=R9;r2=R4;c1=int:0;r3=R6;r4=R10","objectarrayappend",71
5,191131,5,2,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_storage_opt",0
6,191131,5,2,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_storage_opt",2
7,109240,7,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R7;r2=R6;c1=int:1;r3=R8;r4=R5","benchmark_awfy_storage_opt",91
8,109210,4,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R4;r2=R5;r3=R9;c1=int:1;r4=R10","benchmark_awfy_storage_opt",339
9,95570,3,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R25;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_storage_opt",283
10,95561,2,2,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R12;c3=int:512","benchmark_awfy_storage_opt",4
11,95560,1,1,6,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | ILT_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R9;c1=int:0;r3=R3;r4=R1;c2=label@45","objectarrayappend",28
12,95560,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | INSATTRS1_REG_REG_REG(r3,r1,r4) | ICOPY_REG_REG(r5,r1) | ICOPY_REG_REG(r6,r4)","r1=R2;r2=R3;c1=int:1;r3=R9;r4=R1;r5=R4;r6=R7","objectarrayappend",54
13,95560,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BCF_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r3,r4,c2) | LINKATTR1_REG_REG_REG(r5,r3,r4)","r1=R7;r2=R1;c1=label@90;r3=R9;r4=R4;c2=int:0;r5=R6","objectarrayappend",65
