workload,round,tool,real_s,max_rss_bytes
richards,1,m03,0.05,11845632
richards,1,m04,0.05,12582912
richards,2,m03,0.05,11862016
richards,2,m04,0.05,12550144
richards,3,m03,0.05,11894784
richards,3,m04,0.05,12484608
towers,1,m03,0.01,6111232
towers,1,m04,0.01,6782976
towers,2,m03,0.01,6111232
towers,2,m04,0.01,6897664
towers,3,m03,0.01,6094848
towers,3,m04,0.01,6848512
rexxcps,1,m03,0.05,29900800
rexxcps,1,m04,0.05,29769728
rexxcps,2,m03,0.06,29868032
rexxcps,2,m04,0.06,29818880
rexxcps,3,m03,0.06,29884416
rexxcps,3,m04,0.07,29802496
