workload,program_static_instructions,program_max_locals,program_rxbin_bytes,program_rxbin_sha256,shared_static_instructions,shared_rxbin_bytes,shared_rxbin_sha256,module_set_static_instructions,module_set_rxbin_bytes
Sieve,72,16,4900,92a7db0c75549a84225a23ad1f589916bd94de6842c13d99362297c4e67b4751,62326,936949,7322d7ef98f30ecfc6ce52ac3e976a26fdeda5e24d0dfc2be4d3e83a2e68971f,62398,941849
Permute,209,24,11810,714cd35e4c4353d3d5d6beba170c9437b71d398c21c5f78381092b657d1e5ed0,62326,936949,7322d7ef98f30ecfc6ce52ac3e976a26fdeda5e24d0dfc2be4d3e83a2e68971f,62535,948759
Bounce,352,20,17167,ded1ae2832085f61f3ac90e4100a1e35041284642a899ab8f931389bbb552554,62326,936949,7322d7ef98f30ecfc6ce52ac3e976a26fdeda5e24d0dfc2be4d3e83a2e68971f,62678,954116
Richards,1802,56,79014,ea2d6e93788c7574b77a29899a2aac7bd0f2bf5f0d4e5d84dbc2a0934ea74ed7,62326,936949,7322d7ef98f30ecfc6ce52ac3e976a26fdeda5e24d0dfc2be4d3e83a2e68971f,64128,1015963
Base64,604,40,38149,a5277eeaa827a7d516e6e34267416a6fe3e09758fc4500f721e9cb3f49120ee9,62326,936949,7322d7ef98f30ecfc6ce52ac3e976a26fdeda5e24d0dfc2be4d3e83a2e68971f,62930,975098
Towers,551,34,28614,d4480d09161686b29b8f2ecba0249101136a58743fd9fa89383efc97be2d5760,62326,936949,7322d7ef98f30ecfc6ce52ac3e976a26fdeda5e24d0dfc2be4d3e83a2e68971f,62877,965563
RexxCPS,1221,103,68577,46c4fb77a567135de1f4221c8b3486ec468c3ada43cb485e7c4cf5b00e1478e0,62326,936949,7322d7ef98f30ecfc6ce52ac3e976a26fdeda5e24d0dfc2be4d3e83a2e68971f,63547,1005526
