vm,variant,round,elapsed_seconds,checksum
rxtvm,e0,1,1.35,9000000
rxtvm,e0,2,1.39,9000000
rxtvm,e0,3,1.36,9000000
rxtvm,e0,4,1.39,9000000
rxtvm,e0,5,1.40,9000000
rxtvm,e0,6,1.37,9000000
rxtvm,e0,7,1.37,9000000
rxtvm,e0,8,1.38,9000000
rxtvm,e1,1,0.08,9000000
rxtvm,e1,2,0.09,9000000
rxtvm,e1,3,0.08,9000000
rxtvm,e1,4,0.09,9000000
rxtvm,e1,5,0.08,9000000
rxtvm,e1,6,0.09,9000000
rxtvm,e1,7,0.09,9000000
rxtvm,e1,8,0.09,9000000
rxbvm,e0,1,1.32,9000000
rxbvm,e0,2,1.33,9000000
rxbvm,e0,3,1.30,9000000
rxbvm,e0,4,1.31,9000000
rxbvm,e0,5,1.31,9000000
rxbvm,e0,6,1.32,9000000
rxbvm,e0,7,1.32,9000000
rxbvm,e0,8,1.29,9000000
rxbvm,e1,1,0.08,9000000
rxbvm,e1,2,0.08,9000000
rxbvm,e1,3,0.08,9000000
rxbvm,e1,4,0.08,9000000
rxbvm,e1,5,0.08,9000000
rxbvm,e1,6,0.08,9000000
rxbvm,e1,7,0.08,9000000
rxbvm,e1,8,0.08,9000000
