variant,rxas_sha256,rxas_bytes,rxbin_sha256,rxbin_bytes,top_level_static_instructions,eligible_site_parseexec,eligible_site_parseplan
e0,f9992d36dadf5f921c29850b0856ba6585b2f9de5a6e0a36125dbc6477e2db3b,11578,6953943066c428615070c3fa1084f76938a4bc6b3dd78f91fdb27d3a439ca69c,5682,68,1,0
e1,7d77e202f50a83c77ffc6feee6e028b64119dbb324e2886dba662fcee51cca2f,16359,594f76af6402151fadcd7cab4af289356436f7620900d2dbf5cf19af04511803,6953,63,0,0
