runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,110800000,pass
crexx,shared,compile-load-first-result,assemble,1,10947000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,1,15817000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,1,15793000,pass
crexx,shared,compile-load-first-result,compile,2,105913000,pass
crexx,shared,compile-load-first-result,assemble,2,15808000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,2,15783000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,2,15761000,pass
crexx,shared,compile-load-first-result,compile,3,104135000,pass
crexx,shared,compile-load-first-result,assemble,3,13482000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,3,15115000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,3,14305000,pass
crexx,shared,compile-load-first-result,compile,4,115596000,pass
crexx,shared,compile-load-first-result,assemble,4,16045000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,4,15705000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,4,13052000,pass
crexx,shared,compile-load-first-result,compile,5,130476000,pass
crexx,shared,compile-load-first-result,assemble,5,11840000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,5,15829000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,5,11692000,pass
crexx,shared,compile-load-first-result,compile,6,104402000,pass
crexx,shared,compile-load-first-result,assemble,6,14159000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,6,15785000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,6,15745000,pass
crexx,shared,compile-load-first-result,compile,7,114667000,pass
crexx,shared,compile-load-first-result,assemble,7,13177000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,7,15718000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,7,11843000,pass
crexx,shared,compile-load-first-result,compile,8,102807000,pass
crexx,shared,compile-load-first-result,assemble,8,15993000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,8,12765000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,8,13668000,pass
crexx,shared,compile-load-first-result,compile,9,105292000,pass
crexx,shared,compile-load-first-result,assemble,9,15022000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,9,15709000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,9,15745000,pass
crexx,shared,compile-load-first-result,compile,10,112623000,pass
crexx,shared,compile-load-first-result,assemble,10,15930000,pass
crexx,rxtvm,compile-load-first-result,load_first_result,10,13862000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,10,11888000,pass
oorexx,oorexx,compile-load-first-result,translate,1,13962000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,1,41172000,pass
oorexx,oorexx,compile-load-first-result,translate,2,15929000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,2,15859000,pass
oorexx,oorexx,compile-load-first-result,translate,3,15884000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,3,15849000,pass
oorexx,oorexx,compile-load-first-result,translate,4,15893000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,4,12757000,pass
oorexx,oorexx,compile-load-first-result,translate,5,15868000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,5,11340000,pass
oorexx,oorexx,compile-load-first-result,translate,6,32263000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,6,14788000,pass
oorexx,oorexx,compile-load-first-result,translate,7,15818000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,7,15864000,pass
oorexx,oorexx,compile-load-first-result,translate,8,15802000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,8,15749000,pass
oorexx,oorexx,compile-load-first-result,translate,9,14713000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,9,15837000,pass
oorexx,oorexx,compile-load-first-result,translate,10,15909000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,10,10926000,pass
netrexx,netrexx,compile-load-first-result,compile,1,451982000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,1,29303000,pass
netrexx,netrexx,compile-load-first-result,compile,2,443647000,pass
