rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
54,27300,2,1,7,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | IGETUNLINK_REG_REG(r4,r2) | BRTF_ID_ID_REG(c2,c3,r4)","r1=R2;r2=R7;r3=R15;c1=int:2;r4=R6;c2=label@1426;c3=label@1485","benchmark_awfy_towers_opt",1413
55,27290,1,1,6,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3) | COPY_REG_REG(r4,r5)","r1=R3;r2=R7;c1=label@863;r3=R1;r4=R9;r5=R15","benchmark_awfy_towers_opt",794
56,27290,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r4)","r1=R7;r2=R14;c1=int:6;r3=R3;c2=label@863;r4=R1","benchmark_awfy_towers_opt",790
57,27290,1,1,6,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R7;c1=label@863;r2=R1;r3=R9;r4=R15;c2=int:1","benchmark_awfy_towers_opt",797
58,27200,1,1,5,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | RET()","r1=R12;r2=R5;c1=int:1;r3=R14;c2=int:7","benchmark_awfy_towers_opt",920
59,150,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SETTP_REG_INT(r1,c2)","r1=R8;r2=R13;r3=R17;c1=int:0;r4=R5;c2=int:256","benchmark_awfy_towers_opt",141
60,150,2,1,7,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c2) | CALL3_REG_FUNC_REG_REG_REG(r4,c3,r2,r3,r1)","r1=R17;c1=int:0;r2=R5;c2=int:256;r3=R8;r4=R18;c3=func@10520","benchmark_awfy_towers_opt",144
61,140,1,1,7,candidate,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | ISETATTR1_REG_INT_REG(r2,c4,r3)","c1=label@165;r1=R11;r2=R13;c2=int:4;c3=string@9;c4=int:1;r3=R7","benchmark_awfy_towers_opt",121
62,140,1,1,7,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R11;r2=R7;r3=R10;c1=label@165;r4=R13;c2=int:4;c3=string@9","benchmark_awfy_towers_opt",117
63,140,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r5,c3)","r1=R13;c1=int:2;r2=R15;r3=R8;r4=R17;c2=int:0;r5=R5;c3=int:256","benchmark_awfy_towers_opt",137
