workload,program_static_instructions,program_max_locals,program_rxbin_bytes,program_rxbin_sha256,shared_static_instructions,shared_rxbin_bytes,shared_rxbin_sha256,module_set_static_instructions,module_set_rxbin_bytes
Sieve,73,16,4892,a9db0e5dc96ab05fd3b78471fedc4bb641555d8b5c209ae33b1a2f80e8dc9d06,61223,933969,9af6f34243b1b49e8f6d1cd3f0747e09b594f6629c7f8c08301efa1cb1aa18fa,61296,938861
Permute,209,24,11810,714cd35e4c4353d3d5d6beba170c9437b71d398c21c5f78381092b657d1e5ed0,61223,933969,9af6f34243b1b49e8f6d1cd3f0747e09b594f6629c7f8c08301efa1cb1aa18fa,61432,945779
Bounce,352,20,17167,ded1ae2832085f61f3ac90e4100a1e35041284642a899ab8f931389bbb552554,61223,933969,9af6f34243b1b49e8f6d1cd3f0747e09b594f6629c7f8c08301efa1cb1aa18fa,61575,951136
Richards,1802,56,79014,ea2d6e93788c7574b77a29899a2aac7bd0f2bf5f0d4e5d84dbc2a0934ea74ed7,61223,933969,9af6f34243b1b49e8f6d1cd3f0747e09b594f6629c7f8c08301efa1cb1aa18fa,63025,1012983
Base64,595,40,37829,243be61695fbde99ca2d1ab55df12c984fbf494569043aa82ba499c330435640,61223,933969,9af6f34243b1b49e8f6d1cd3f0747e09b594f6629c7f8c08301efa1cb1aa18fa,61818,971798
Towers,548,34,28550,46d9742173ddb6bc2545669529d159ad234b559544d35a9bb900ff025e913d67,61223,933969,9af6f34243b1b49e8f6d1cd3f0747e09b594f6629c7f8c08301efa1cb1aa18fa,61771,962519
RexxCPS,1210,104,68361,5fe91566b058cf29bba4339e81e3a3025210b1e6e08bb42dfce6f608766e8f15,61223,933969,9af6f34243b1b49e8f6d1cd3f0747e09b594f6629c7f8c08301efa1cb1aa18fa,62433,1002330
