workload,program_static_instructions,program_max_locals,program_rxbin_bytes,program_rxbin_sha256,shared_static_instructions,shared_rxbin_bytes,shared_rxbin_sha256,module_set_static_instructions,module_set_rxbin_bytes
Sieve,72,16,4900,92a7db0c75549a84225a23ad1f589916bd94de6842c13d99362297c4e67b4751,62606,937413,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f,62678,942313
Permute,209,24,11810,714cd35e4c4353d3d5d6beba170c9437b71d398c21c5f78381092b657d1e5ed0,62606,937413,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f,62815,949223
Bounce,356,20,17247,4b641dcba1cc6f2a4d7d80ac5df907c961c88979984ac159d0007fa336dc6cdf,62606,937413,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f,62962,954660
Richards,1805,56,79102,07be3844ac2a8ae1d45e81ed5459db1118976e08337bf1414715b164ac83ed86,62606,937413,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f,64411,1016515
Base64,606,40,38197,82498d4ee9987019a361577af4b93155ec1903d772055570c91d699838f4c141,62606,937413,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f,63212,975610
Towers,552,34,28638,a656a61b14137e4e5072fbe52ffc1b695b623bd30ebb6b85e0d0a0f83425b85b,62606,937413,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f,63158,966051
RexxCPS,1222,103,68585,e7cd34fc8f54e63aeaf54ee57a0e1f2495a1e5ae9f84027568efb96b0aed1266,62606,937413,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f,63828,1005998
